timestamp,block_height,tx_count,mempool_size_mb,min_fee_rate,max_fee_rate,avg_fee_rate,median_fee_rate,fee_rate_10th,fee_rate_90th,fee_rate_std,block_time,difficulty,hash_rate,mempool_min_fee,total_fee,mempool_usage,transaction_count,block_weight,block_version,block_interval
1724191505,857680,4856,20.940461,2.9883720930232555e-08,2.34e-06,4.325441744892523e-08,3.015873015873016e-08,3.0078740157480317e-08,5e-08,6.71339571002893e-08,1724191505,86871474313761.95,5.607321335451541e+20,1e-05,0.04847669,119225728,4856,3993238,536870912,1100
1724193894,857682,2209,20.940033,3e-08,2e-06,7.131124753936573e-08,4.905109489051095e-08,4e-08,1.0011583011583009e-07,9.481988410370933e-08,1724193894,86871474313761.95,5.607321335451541e+20,1e-05,0.06215452,119222352,2209,3993700,536944640,2389
1724194625,857683,2678,20.939879,2e-08,5e-06,6.932261547226105e-08,4.4540816326530615e-08,3.273670212765957e-08,9.070866141732283e-08,1.6164837189601733e-07,1724194625,86871474313761.95,5.607321335451541e+20,1e-05,0.06295685,119221120,2678,3992829,626311168,731
1724195226,857684,4588,20.939385,1.0488505747126437e-08,2.1702127659574467e-06,4.613395343856853e-08,3.0555555555555556e-08,3.015873015873016e-08,5.555023923444976e-08,6.552298639743397e-08,1724195226,86871474313761.95,5.607321335451541e+20,1e-05,0.04978033,119217520,4588,3992758,827621376,601
1724197175,857686,5984,20.937308,1.9858156028368793e-08,2.6041666666666666e-06,4.09031633849142e-08,3.0555555555555556e-08,3.031746031746032e-08,4.984126984126984e-08,6.566554116506462e-08,1724197175,86871474313761.95,5.607321335451541e+20,1e-05,0.04508954,119202752,5984,3993233,1006632960,1949
1724198381,857687,2656,20.936094,2.2535211267605634e-08,2.125e-06,7.767184410289773e-08,5e-08,4e-08,1.089254153411099e-07,1.1796471247645377e-07,1724198381,86871474313761.95,5.607321335451541e+20,1e-05,0.07960081,119197728,2656,3993181,585105408,1206
1724201915,857688,2757,20.934738,1.2083333333333334e-08,5.333333333333334e-06,1.5914760149528727e-07,8.545454545454546e-08,6.020590736355057e-08,2.5825396825396824e-07,3.1254127414223455e-07,1724201915,86871474313761.95,5.607321335451541e+20,1e-05,0.11116926,119188560,2757,3993469,827596800,3534
1724202595,857691,6139,20.933444,2.7777777777777777e-08,2.125e-06,3.530746492008946e-08,2.8e-08,2.7777777777777777e-08,4.0158129744211266e-08,3.9011589199865276e-08,1724202595,86871474313761.95,5.607321335451541e+20,1e-05,0.03971943,119180240,6139,3993211,536870912,680
1724203712,857693,5874,20.931178,2.3636363636363635e-08,5.381165919282511e-06,4.074886629409337e-08,3.078740157480315e-08,2.7777777777777777e-08,5e-08,8.51343395134534e-08,1724203712,86871474313761.95,5.607321335451541e+20,1e-05,0.04602363,119170096,5874,3993690,622575616,1117
1724204359,857697,7249,20.927665,2.976190476190476e-08,2.631578947368421e-06,3.229047560181088e-08,3e-08,3e-08,3.087301587301587e-08,3.901383458971626e-08,1724204359,86871474313761.95,5.607321335451541e+20,1e-05,0.03375242,119148944,7249,3993100,536887296,647
1724205283,857698,4060,20.926704,1.0157068062827224e-08,2.44e-06,6.152713014038191e-08,5.053846153846154e-08,4e-08,6.949045179319984e-08,7.578079840153195e-08,1724205283,86871474313761.95,5.607321335451541e+20,1e-05,0.05938152,119143072,4060,3992990,835559424,924
1724207902,857699,3337,20.926563,2e-08,1.2077611940298508e-05,1.1247056323748581e-07,6.102362204724409e-08,5.047244094488189e-08,1.5314980158730158e-07,2.8645478960662047e-07,1724207902,86871474313761.95,5.607321335451541e+20,1e-05,0.09907091,119141872,3337,3993682,828293120,2619
1724209571,857702,3975,20.92297,1.8018018018018017e-08,5.048022598870057e-06,5.300301664300192e-08,4.102362204724409e-08,2.7857142857142856e-08,6.040898219505715e-08,1.1802977926513243e-07,1724209571,86871474313761.95,5.607321335451541e+20,1e-05,0.05144096,119114496,3975,3993125,570425344,1669
1724210202,857704,7212,20.921488,2.7777777777777777e-08,1.4272072072072072e-06,3.387960202494255e-08,3.095238095238095e-08,2.7857142857142856e-08,3.2e-08,2.901955442886544e-08,1724210202,86871474313761.95,5.607321335451541e+20,1e-05,0.03645877,119104544,7212,3992813,765108224,631
