timestamp,block_height,tx_count,mempool_size_mb,min_fee_rate,max_fee_rate,avg_fee_rate,median_fee_rate,fee_rate_10th,fee_rate_90th,fee_rate_std,block_time,difficulty,hash_rate,mempool_min_fee,total_fee,mempool_usage,transaction_count,block_weight,block_version,block_interval,block_median_fee_rate
1725156873,803310,29516,6.188628,1E-8,0.00000200,2.555845193226314629814735346E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.588235294117647058823529412E-8,2.468684321605195101587498416E-8,1692108970,52391178981379.36,6.574572075966817E+20,0.00001000,0.15629057,46642560,2330,3997825,750854144,363,7.954887218045112781954887218E-8
1725156877,803311,29526,6.191356,1E-8,0.00000200,2.556638261242307199539111088E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.617408906882591093117408907E-8,2.468845485284854880193723516E-8,1692110497,52391178981379.36,6.574572075966817E+20,0.00001000,0.15644177,46661712,3254,3993579,1073676288,1527,1.117171717171717171717171717E-7
1725156883,803312,29537,6.192924,1E-8,0.00000200,2.557122730746528400079595211E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.695431472081218274111675127E-8,2.468537505030472852039740497E-8,1692110655,52391178981379.36,6.574572075966817E+20,0.00001000,0.15650249,46676144,1848,3993403,536928256,158,8E-8
1725156887,803313,29552,6.195555,1E-8,0.00000200,2.557779273905678929696340903E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.743902439024390243902439024E-8,2.468112121301787284424201013E-8,1692110959,52391178981379.36,6.574572075966817E+20,0.00001000,0.15660438,46696432,1130,3993614,1073676288,304,9.191489361702127659574468085E-8
1725156892,803314,29558,6.196743,1E-8,0.00000200,2.558124677973650182469025163E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.743902439024390243902439024E-8,2.467997442225503364523179936E-8,1692113460,52391178981379.36,6.574572075966817E+20,0.00001000,0.15665538,46704000,3204,3992862,554467328,2501,1.98E-7
1725156897,803315,29567,6.199016,1E-8,0.00000200,2.558718402642363310529066468E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.764705882352941176470588235E-8,2.467924791260284534300099312E-8,1692115642,52391178981379.36,6.574572075966817E+20,0.00001000,0.15676743,46718208,3114,3993363,1073733632,2182,1.988461538461538461538461538E-7
1725156902,803316,29580,6.202956,1E-8,0.00000200,2.559995644792686939326628367E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.825396825396825396825396825E-8,2.467863162167775547537292537E-8,1692116726,52391178981379.36,6.574572075966817E+20,0.00001000,0.15698990,46742864,3396,3993281,547356672,1084,1.3E-7
1725156908,803317,29593,6.205235,1E-8,0.00000200,2.560726408307393758441585282E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.825396825396825396825396825E-8,2.469033900410937856807604893E-8,1692117151,52391178981379.36,6.574572075966817E+20,0.00001000,0.15705991,46759376,2933,3993288,562118656,425,1.102619175506915536457633946E-7
1725156913,803318,29603,6.20776,1E-8,0.00000200,2.561641265569177329090904883E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.825396825396825396825396825E-8,2.469357963068558026084943862E-8,1692117534,52391178981379.36,6.574572075966817E+20,0.00001000,0.15719324,46774576,3074,3992996,762183680,383,1.0E-7
1725156918,803319,29620,6.211392,1E-8,0.00000200,2.563008640117506994029158795E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.825396825396825396825396825E-8,2.469791875614263535443227451E-8,1692117644,52391178981379.36,6.574572075966817E+20,0.00001000,0.15736955,46799648,2555,3993048,608747520,110,9E-8
