sequence,actual_fee_rate,predicted_fee_rate,absolute_error,percentage_error
0,4.1,2.3460866924256143,1.7539133075743853,42.778373355472816
1,3.0047,2.326704365006679,0.6779956349933212,22.564503444381174
2,3.1,2.439751879321174,0.6602481206788262,21.298326473510524
3,3.0,2.411794725919815,0.5882052740801851,19.606842469339504
4,3.3,2.379517866256877,0.920482133743123,27.893397992215853
5,4.2692,2.354575307510006,1.9146246924899937,44.84738809355368
6,6.2,2.328379103657526,3.871620896342474,62.44549832810442
7,6.0,2.3068061279679237,3.6931938720320763,61.55323120053461
8,5.0775,1.9638356902957592,3.1136643097042405,61.32278305670587
9,5.0,1.945408105452753,3.054591894547247,61.091837890944944
10,6.0,1.927630140706014,4.072369859293986,67.8728309882331
11,4.1159,1.9120030584755352,2.203896941524465,53.54593021026908
12,3.3,1.8972239755478824,1.4027760244521175,42.508364377336896
13,3.2,1.8840297107932389,1.3159702892067613,41.12407153771129
14,2.5039,1.642064852388495,0.8618351476115047,34.4197111550583
15,3.2,1.63095441038796,1.56904558961204,49.032674675376256
16,2.1008,1.6206540895533534,0.48014591044664656,22.855384160636262
17,2.0,1.6113137085849836,0.3886862914150164,19.43431457075082
18,2.0317,1.6026951024455514,0.4290048975544485,21.115563200986788
19,3.0317,1.5948507221749642,1.4368492778250357,47.394177452420614
20,2.3,1.3751083514650242,0.9248916485349756,40.2126803710859
21,2.8,1.3685244773982814,1.4314755226017184,51.12412580720424
22,3.0273,1.3624780173518192,1.6648219826481807,54.99362410888187
23,2.401,1.356954232627987,1.0440457673720127,43.483788728530314
24,2.3231,1.351887009155564,0.9712129908444362,41.806766426087385
25,2.6615,1.347253732378928,1.3142462676210722,49.379908608719596
26,3.0,1.4079238232530749,1.5920761767469251,53.069205891564174
27,4.2692,1.4040380672203063,2.865161932779693,67.11238482103657
28,2.0079,1.4004774860687677,0.6074225139312321,30.251631751144586
29,1.8413,1.3972189461072588,0.4440810538927411,24.117800135379415
30,1.7619,1.3942338881443517,0.36766611185564835,20.867592477192144
31,4.0,1.391501477652285,2.6084985223477153,65.21246305869288
32,2.099,1.2675031964778312,0.831496803522169,39.61394966756403
33,2.099,1.2652120461706189,0.8337879538293813,39.72310404141883
34,6.0615,1.2631137476919063,4.798386252308093,79.16169681280365
35,6.5328,1.2611926397493936,5.271607360250607,80.69445506139185
36,6.0,1.2594333476539916,4.740566652346009,79.00944420576681
37,6.2287,1.2578225384634054,4.9708774615365945,79.80601829493466
38,5.0,1.1726099794659643,3.8273900205340357,76.54780041068071
39,3.7127,1.1712593606278734,2.5414406393721265,68.45262583489445
40,3.0077,1.170022583650039,1.8376774163499607,61.09909287329059
41,5.6434,1.168890133067262,4.4745098669327374,79.28748390921673
42,6.0333,1.1678531508498091,4.8654468491501905,80.64321099813021
43,4.8986,1.1669036303967246,3.7316963696032754,76.1788341485991
44,3.2,0.6248077363405797,2.5751922636594204,80.47475823935687
45,3.0231,0.6240115980244392,2.3990884019755607,79.358552544592
46,2.3077,0.6232825871395089,1.6844174128604912,72.99117792002822
47,5.0,0.6226150549801011,4.377384945019899,87.54769890039798
48,6.9444,0.6220038088466846,6.322396191153315,91.04308782836983
