trial,value,time2vec_dim,hidden_dim,num_heads,attention_dropout,batch_size,learning_rate,dropout,clip_grad_norm,warmup_epochs,patience
0,inf,22,224,6,0.11387324129629231,64,3.4932384328015644e-05,0.3637283259224381,2.730531987017143,3,5
1,inf,19,160,8,0.1884823574528529,32,0.00016568750255240418,0.20166368357561928,2.806073660317587,2,4
2,inf,28,224,3,0.25359617884914676,128,0.0002051857795143488,0.2914221897617465,3.249511759602923,2,7
